sqft,bedrooms,bathrooms,age,neighborhood,sale_price
2389,3,1.7,71,Suburbs,455052
2799,4,3.4,38,Downtown,916737
2408,4,3.3,71,Downtown,786396
695,1,1.0,57,Rural,115033
1032,2,1.2,9,Suburbs,286645
1425,3,2.1,27,Downtown,515188
1815,4,2.8,42,Suburbs,419831
2110,4,2.9,17,Suburbs,513261
1364,2,1.8,2,Rural,210790
1912,3,2.4,47,Downtown,609520
1346,3,1.8,40,Downtown,491967
1433,2,1.8,65,Suburbs,292167
956,1,1.0,10,Suburbs,207030
1246,3,2.3,33,Rural,166801
988,1,1.1,66,Rural,97859
1214,3,1.8,15,Rural,187437
2432,5,3.5,60,Rural,355002
1230,2,1.2,18,Rural,178575
3379,5,3.0,6,Rural,427206
2095,4,2.9,53,Suburbs,472495
1910,4,3.6,11,Rural,282499
1284,2,1.0,34,Suburbs,292122
2220,4,2.8,4,Suburbs,555363
1454,3,2.3,19,Downtown,579249
1873,4,2.8,52,Suburbs,428172
3336,5,3.5,50,Suburbs,745252
1742,3,1.7,69,Rural,223675
2489,4,2.9,41,Suburbs,536095
1378,3,1.9,12,Rural,252743
1779,2,1.0,66,Rural,202019
2862,5,3.9,15,Rural,378314
1423,2,1.7,26,Downtown,530315
2887,4,2.8,24,Rural,413173
2224,3,2.2,15,Suburbs,506128
1462,3,2.4,5,Rural,216947
2179,4,2.9,38,Rural,288046
2383,4,3.1,44,Rural,324613
2173,3,2.0,34,Downtown,734392
857,2,1.8,13,Suburbs,261058
1363,2,1.5,17,Downtown,493594
1651,3,2.2,61,Suburbs,384579
1755,2,1.0,39,Downtown,536396
2172,3,2.2,39,Suburbs,490956
1906,3,1.9,67,Downtown,574396
998,2,1.2,49,Rural,138312
2028,4,2.6,39,Downtown,697977
2166,4,2.5,27,Downtown,753030
2135,3,2.7,47,Rural,263038
2448,4,3.2,7,Rural,369461
2300,4,3.4,13,Suburbs,543582
2075,4,2.4,24,Suburbs,473773
1757,3,2.1,33,Suburbs,445674
803,1,1.0,46,Downtown,280190
2057,3,1.9,65,Suburbs,367649
1924,3,1.8,36,Downtown,623858
1962,3,2.5,74,Downtown,562849
1033,1,1.0,36,Suburbs,206253
1151,2,1.7,54,Suburbs,189407
2431,4,3.0,10,Downtown,863283
1776,2,2.1,60,Rural,187902
2208,3,1.7,71,Rural,252736
1816,3,2.5,15,Downtown,629382
1817,3,2.4,14,Suburbs,442404
2362,4,2.5,55,Downtown,749286
1490,2,1.7,65,Downtown,477976
1857,3,2.2,41,Suburbs,441522
1522,2,1.3,27,Rural,214249
1539,3,1.9,42,Downtown,520505
1614,3,1.9,14,Rural,270919
1933,4,3.4,65,Rural,222742
1512,2,1.4,21,Suburbs,319207
2553,5,3.7,10,Downtown,936575
1263,2,1.2,74,Downtown,404845
1687,2,1.2,70,Rural,181622
1536,3,2.4,60,Rural,194255
2668,4,2.4,47,Suburbs,536646
1917,3,2.0,52,Rural,256708
2419,4,2.8,58,Suburbs,535868
908,2,1.4,62,Downtown,308922
1960,3,2.0,61,Suburbs,392155
2333,3,2.2,64,Rural,259984
1849,4,3.0,47,Downtown,624853
2439,4,3.0,33,Suburbs,554093
1489,2,1.1,14,Downtown,497144
2645,5,3.4,11,Suburbs,611447
3179,5,3.9,44,Rural,399419
1582,2,1.7,2,Rural,215640
1532,2,1.0,65,Downtown,429324
2672,4,2.9,67,Downtown,837858
2747,4,2.2,54,Downtown,853201
1486,3,2.1,16,Suburbs,369610
1547,3,2.7,25,Rural,229195
1630,3,1.8,6,Downtown,589981
993,2,1.1,5,Downtown,406714
1248,2,1.6,45,Downtown,419401
1197,1,1.0,58,Suburbs,198586
1339,2,1.2,55,Downtown,432026
1779,2,1.6,27,Downtown,567969
1940,3,1.9,2,Suburbs,468578
2730,5,3.4,73,Suburbs,602340
1200,3,2.3,38,Downtown,474891
2390,3,2.2,74,Downtown,703291
1671,2,1.5,71,Suburbs,312469
1770,2,1.3,21,Rural,246622
2204,4,2.9,50,Suburbs,503945
1126,1,1.0,72,Rural,104478
2029,3,2.2,66,Downtown,606127
1899,3,2.0,1,Downtown,652509
2095,4,2.7,41,Rural,281955
1973,3,1.8,32,Suburbs,434855
3273,6,4.0,1,Downtown,1193913
1417,3,1.9,53,Rural,192447
1481,3,1.8,5,Suburbs,408348
1426,3,2.2,73,Rural,162058
1466,3,2.2,9,Suburbs,404511
1417,3,2.3,43,Suburbs,325658
2513,4,2.7,59,Suburbs,545825
2652,4,2.9,74,Suburbs,511765
1457,2,1.6,3,Rural,215749
1300,3,2.2,27,Rural,154160
2082,3,1.9,25,Rural,266091
1468,3,2.1,62,Rural,195396
2179,4,2.9,60,Rural,266476
1921,4,2.8,22,Suburbs,450296
890,1,1.0,31,Downtown,325946
2728,5,3.5,67,Downtown,879000
2877,5,4.0,1,Rural,397112
1432,2,1.3,29,Rural,188884
1567,2,1.2,6,Downtown,608159
1971,4,2.9,56,Suburbs,466074
2000,4,2.9,37,Rural,297264
2195,3,2.5,64,Suburbs,459902
3006,5,3.1,32,Downtown,1005907
1693,2,1.6,55,Downtown,467518
1321,3,2.3,55,Rural,164779
972,1,1.0,54,Suburbs,184427
1361,2,1.5,18,Rural,152768
1780,2,1.7,25,Downtown,568814
2876,5,3.8,1,Suburbs,654195
1489,2,1.1,49,Rural,177675
1934,3,2.3,45,Rural,263629
1790,2,1.4,2,Rural,265505
2513,4,2.8,44,Downtown,831958
3316,5,3.5,33,Rural,405627
1481,3,2.1,7,Suburbs,346155
1506,3,2.5,14,Rural,191395
2426,5,3.5,14,Downtown,867495
2209,3,1.8,5,Rural,278724
2908,5,3.4,7,Downtown,1024629
2150,4,2.9,58,Downtown,687479
1584,3,2.5,56,Suburbs,360829
2154,3,2.3,24,Suburbs,481458
2465,4,2.5,5,Rural,338455
2292,4,3.5,12,Downtown,862472
2104,4,2.9,45,Downtown,694384
2440,4,3.2,50,Suburbs,545134
2501,4,2.8,4,Suburbs,592434
2629,5,3.7,49,Rural,339968
2189,3,2.4,19,Downtown,767203
1699,3,2.5,53,Suburbs,395113
1888,3,2.4,56,Rural,217365
2523,5,3.8,44,Downtown,871456
1309,3,2.0,49,Downtown,463502
2021,3,1.9,33,Suburbs,440009
1563,3,2.2,34,Rural,227636
1817,4,3.1,52,Suburbs,429944
2567,5,3.4,28,Rural,387788
1914,3,2.4,62,Downtown,573700
1827,3,2.5,9,Rural,260044
984,1,1.0,9,Rural,126129
2247,4,2.5,59,Rural,292343
2187,3,2.1,2,Rural,267086
3097,6,4.0,47,Rural,414013
1615,3,1.9,40,Suburbs,354266
1931,3,2.5,34,Rural,241703
1949,3,2.2,44,Rural,219497
2746,5,3.5,43,Downtown,917497
1742,3,1.7,21,Rural,259171
1967,3,1.7,3,Downtown,699560
2164,3,2.2,16,Suburbs,507778
1911,3,1.5,34,Suburbs,451414
1532,3,2.4,9,Rural,236702
1916,4,2.8,21,Suburbs,460347
2444,5,4.0,35,Rural,349654
1184,2,2.1,47,Suburbs,262165
1879,4,2.7,38,Rural,248889
1379,2,1.4,10,Rural,166014
2517,4,3.1,1,Downtown,924859
886,2,1.9,20,Downtown,364848
1464,3,1.6,71,Downtown,453504
2026,3,1.6,65,Downtown,586002
2739,4,2.6,28,Rural,360539
1760,2,1.6,61,Suburbs,333156
1466,2,1.5,37,Rural,185499
2928,5,3.8,63,Downtown,965815
931,1,1.0,30,Downtown,337156
480,1,1.0,58,Suburbs,103484
2064,3,2.4,40,Downtown,645543
1498,2,1.2,9,Rural,266896
1187,1,1.0,34,Rural,183214
2225,4,2.8,8,Rural,329472
1946,4,3.0,46,Rural,248493
1461,2,1.4,57,Rural,171170
1031,2,1.3,55,Suburbs,212167
2323,4,2.8,61,Rural,315044
2190,3,2.0,41,Downtown,706561
1740,2,1.0,26,Downtown,545325
2907,5,3.3,21,Downtown,991758
1157,2,1.6,44,Downtown,416808
884,2,1.5,17,Suburbs,276357
1384,2,1.5,33,Downtown,500283
1772,2,1.1,17,Suburbs,406801
1946,4,2.7,45,Downtown,666204
1655,2,1.0,50,Suburbs,266984
2011,3,2.2,12,Suburbs,479017
1049,2,1.8,56,Suburbs,233862
2666,5,3.1,3,Downtown,966263
1750,2,1.2,67,Suburbs,333721
2470,4,2.9,72,Rural,271888
2005,4,3.2,8,Rural,308100
2074,3,2.0,58,Downtown,654591
2141,3,1.9,61,Rural,267130
2068,4,2.2,66,Rural,273206
2185,4,2.8,13,Rural,319777
2597,4,3.4,54,Downtown,836604
1917,3,2.2,38,Downtown,639378
2225,3,2.1,64,Rural,263890
1746,3,2.2,55,Downtown,569051
2664,4,2.8,40,Suburbs,599912
1394,2,1.2,22,Rural,200651
2880,5,3.7,28,Downtown,1034394
1775,3,2.2,23,Downtown,673510
941,1,1.0,67,Rural,103003
1876,4,2.5,71,Downtown,526618
1391,3,2.5,48,Rural,216990
2304,3,2.3,31,Downtown,745527
1408,3,1.9,35,Suburbs,320536
1532,3,2.4,28,Rural,210838
666,1,1.0,31,Suburbs,158059
1528,3,1.9,27,Rural,226094
400,1,1.0,23,Downtown,163481
849,1,1.0,7,Suburbs,204706
2256,4,2.9,64,Downtown,732004
2271,4,2.3,2,Rural,330934
2055,4,2.4,71,Rural,264526
1219,2,1.0,2,Rural,165540
1771,3,2.1,27,Rural,221024
1797,2,1.4,49,Rural,202762
1104,2,1.3,36,Suburbs,262224
2702,5,3.2,17,Rural,399761
2326,4,2.4,56,Downtown,702686
1667,2,1.5,17,Suburbs,376136
1816,4,2.6,47,Downtown,604586
1925,4,2.9,9,Rural,251910
574,1,1.0,65,Downtown,187853
1651,2,1.5,17,Suburbs,388707
1390,3,2.5,2,Suburbs,390909
1199,2,1.6,61,Suburbs,269111
1631,3,2.0,60,Downtown,513385
2878,4,2.9,42,Suburbs,608145
2184,3,2.0,58,Downtown,714490
1457,2,1.4,51,Rural,172068
2143,3,2.0,45,Rural,280047
2639,5,3.5,13,Downtown,950336
2354,3,2.2,62,Suburbs,438886
1835,3,1.8,13,Downtown,610415
1411,2,1.1,28,Downtown,462930
2218,4,2.4,59,Downtown,731573
2036,4,2.3,9,Rural,305694
2337,3,1.7,32,Downtown,765248
2181,3,2.1,67,Rural,235836
2429,5,3.2,72,Downtown,818757
1478,3,2.3,63,Rural,169761
2590,5,3.5,59,Downtown,862970
1918,4,2.2,16,Downtown,699977
3045,6,4.0,26,Suburbs,709139
1386,3,2.3,12,Suburbs,392940
2841,5,3.2,13,Downtown,980719
1918,4,2.9,26,Downtown,675040
1409,2,1.1,24,Downtown,481047
1509,2,1.4,42,Downtown,476206
1607,2,1.0,45,Suburbs,396803
2054,3,1.6,16,Rural,284921
2113,3,2.0,60,Downtown,640689
1455,2,1.4,52,Suburbs,280903
1785,3,2.0,30,Downtown,576880
3085,6,3.8,13,Downtown,1075745
2836,4,2.7,4,Rural,380996
2061,3,2.2,60,Downtown,669274
1822,4,2.8,29,Downtown,691595
1872,4,2.9,11,Rural,282826
2168,4,2.6,29,Rural,286714
1186,1,1.1,19,Rural,164603
1645,3,1.7,31,Rural,210588
798,1,1.0,46,Suburbs,207327
2039,3,2.5,13,Suburbs,478475
2188,4,2.9,23,Suburbs,516620
1510,3,2.0,21,Downtown,513706
2744,4,2.6,18,Rural,355077
1064,2,1.7,9,Rural,184945
921,2,1.0,53,Suburbs,179344
1934,3,1.8,55,Downtown,590284
2428,5,3.4,42,Downtown,858609
2810,4,3.2,3,Downtown,952639
1524,2,1.5,50,Suburbs,339248
2447,5,3.2,29,Downtown,853888
1776,2,1.3,2,Downtown,611878
1696,2,1.2,18,Downtown,546108
2330,4,2.6,70,Rural,289925
2191,4,3.1,20,Suburbs,575099
854,2,1.0,14,Rural,151817
2685,4,3.3,67,Rural,310530
2628,4,3.0,59,Suburbs,578333
1424,3,2.4,27,Rural,202214
2037,3,2.0,14,Downtown,735132
2096,4,2.8,60,Downtown,703698
1956,4,2.4,10,Downtown,666858
1469,2,1.2,53,Downtown,429510
1397,3,2.2,72,Suburbs,316690
1784,2,1.8,21,Rural,237411
2503,4,2.5,61,Rural,284429
2126,4,2.7,39,Downtown,715865
1577,2,1.4,8,Downtown,521957
2263,4,2.4,65,Rural,275003
400,1,1.0,26,Suburbs,170573
2489,4,2.6,10,Rural,354508
756,1,1.0,18,Downtown,339989
1582,3,2.0,48,Downtown,548409
1128,1,1.0,70,Suburbs,223456
1023,2,1.4,4,Rural,203675
2496,4,2.7,18,Suburbs,581615
1519,2,1.3,60,Suburbs,298427
2007,4,2.6,45,Downtown,705365
1771,3,2.2,55,Rural,252144
2086,4,3.3,38,Downtown,726425
1846,4,2.8,72,Rural,219567
1030,2,1.7,2,Downtown,438340
2397,3,1.7,34,Downtown,776005
1503,2,1.4,36,Rural,207652
866,2,1.1,49,Rural,86685
1543,2,1.0,73,Downtown,467359
2700,4,2.6,52,Rural,319092
2310,3,2.5,52,Downtown,722023
1590,3,2.4,59,Rural,186078
1590,2,1.5,66,Downtown,520912
1607,2,1.0,62,Downtown,469453
3046,5,3.4,47,Downtown,978429
2029,4,2.9,48,Suburbs,479432
2058,3,2.2,24,Rural,288112
2418,4,2.2,11,Downtown,835377
1943,4,2.5,23,Suburbs,485321
1644,3,2.1,37,Downtown,551958
1682,2,1.6,10,Suburbs,383042
1757,2,1.0,57,Downtown,472112
1777,3,2.1,12,Downtown,619471
2236,4,2.8,24,Suburbs,559957
1831,4,3.1,66,Suburbs,443611
2239,4,3.0,62,Rural,284003
1751,3,2.3,35,Rural,268617
1847,4,2.6,20,Suburbs,453808
601,2,1.0,32,Rural,93661
2349,3,2.0,31,Suburbs,507854
2007,4,3.1,7,Rural,294297
2398,4,3.2,42,Downtown,803764
400,1,1.0,51,Rural,79952
3053,6,4.0,39,Downtown,1051752
1716,3,2.2,65,Downtown,556239
2464,4,2.6,55,Rural,326640
1176,2,1.4,63,Suburbs,248577
2167,3,2.6,13,Downtown,740124
1167,1,1.0,57,Downtown,309907
1425,2,1.9,12,Rural,207958
2948,4,2.7,50,Suburbs,612799
1685,3,2.5,63,Suburbs,365420
1930,3,1.7,54,Rural,234260
2322,3,2.3,50,Suburbs,537306
2097,4,2.6,64,Rural,236122
1890,3,1.7,11,Rural,219296
2018,3,2.2,2,Rural,290043
3242,5,3.8,25,Downtown,1087496
1765,2,1.1,13,Downtown,598768
1920,4,2.4,26,Downtown,700709
2430,4,2.8,61,Rural,326301
2463,5,3.5,74,Downtown,769740
2512,5,3.7,50,Downtown,847954
2183,3,2.4,16,Downtown,761640
1114,1,1.0,3,Rural,176905
2780,4,3.4,6,Rural,422854
1112,1,1.0,70,Rural,135851
1981,4,2.7,56,Downtown,660596
1347,3,1.6,52,Suburbs,283364
1761,3,2.0,66,Downtown,535410
1997,3,2.0,25,Downtown,666480
1992,4,3.1,59,Rural,273790
2053,3,2.2,42,Rural,265404
2768,4,2.4,73,Downtown,803404
2072,3,2.2,61,Downtown,632995
1653,2,1.6,74,Suburbs,332500
2378,3,2.6,17,Suburbs,545503
2513,5,3.8,59,Rural,340676
1063,2,1.6,28,Suburbs,272376
2158,3,2.1,31,Suburbs,507757
2220,4,2.9,61,Rural,285107
1621,2,1.8,51,Suburbs,331473
2625,4,2.4,20,Downtown,864920
1709,2,1.3,60,Suburbs,340326
1875,4,2.6,3,Rural,231938
1696,2,1.5,41,Downtown,533601
1809,3,2.5,73,Suburbs,369689
1142,2,1.2,48,Downtown,345353
935,2,1.0,1,Downtown,375212
2756,5,3.4,3,Suburbs,679639
1291,2,1.7,52,Suburbs,283511
1205,2,1.6,7,Rural,184804
507,1,1.0,61,Rural,67520
1416,2,1.3,12,Downtown,510371
1006,2,1.0,10,Rural,179131
2785,5,3.7,7,Downtown,1006338
2405,4,2.5,12,Downtown,813153
1387,2,2.1,11,Rural,236429
3151,6,4.0,43,Rural,422585
2389,4,2.6,62,Rural,281874
1605,3,1.9,9,Suburbs,375359
400,1,1.0,56,Downtown,146158
3174,5,3.4,51,Downtown,1019808
966,2,1.7,64,Downtown,344335
812,2,1.5,16,Rural,128987
2413,5,3.3,60,Rural,296476
3263,5,4.0,65,Rural,421471
2630,4,2.8,34,Rural,357397
2138,4,3.0,48,Rural,285095
2156,3,1.9,15,Suburbs,503119
2312,3,2.2,2,Rural,312389
2255,3,2.2,23,Downtown,759195
1968,4,2.2,47,Rural,280069
1862,4,3.4,10,Downtown,740724
1762,2,1.8,58,Rural,204132
1347,3,2.0,31,Rural,220915
1631,3,1.8,65,Downtown,461799
784,1,1.0,12,Downtown,354804
1740,2,1.4,28,Downtown,534400
1206,3,2.2,37,Downtown,444374
1137,1,1.0,5,Suburbs,277866
1907,4,3.0,22,Downtown,705821
2635,5,3.9,31,Rural,381436
2350,3,2.3,1,Rural,297653
857,2,1.1,21,Suburbs,233115
1206,3,2.5,55,Downtown,422509
2364,3,2.6,44,Rural,300635
1210,2,2.3,68,Suburbs,256012
1665,2,1.1,17,Rural,219423
2130,4,2.9,65,Suburbs,449326
1218,2,1.0,65,Suburbs,228603
1863,3,2.3,36,Downtown,638387
999,1,1.0,47,Suburbs,225622
1439,2,2.0,45,Rural,173486
1991,4,2.6,38,Rural,251929
844,2,1.0,8,Downtown,370126
2064,3,2.0,32,Downtown,683208
1788,3,1.5,23,Suburbs,425739
2131,3,2.3,19,Downtown,713613
1934,3,1.5,7,Rural,228542
2618,5,3.5,66,Rural,321476
1875,4,2.2,52,Downtown,611963
1542,2,1.3,12,Downtown,539759
1873,3,2.6,14,Downtown,668274
2125,4,2.9,35,Suburbs,508640
1829,3,1.8,31,Suburbs,406797
1824,4,2.8,51,Rural,248766
1378,2,1.4,24,Suburbs,323704
1402,2,1.5,17,Suburbs,338312
958,2,1.0,42,Suburbs,219205
2849,5,3.7,59,Suburbs,631407
1053,2,1.0,53,Rural,114590
1384,3,1.9,18,Downtown,555599
1368,3,2.0,13,Rural,203273
2336,4,3.0,4,Suburbs,541439
1623,3,2.1,3,Downtown,624742
2548,4,2.4,5,Downtown,871822
1395,2,1.1,45,Downtown,454588
1967,3,2.2,52,Rural,289102
1298,3,2.1,43,Downtown,452223
3087,6,4.0,18,Rural,431917
1087,2,1.3,66,Rural,93325
1985,3,2.3,44,Suburbs,443063
2180,4,2.6,4,Suburbs,515492
2048,4,2.8,66,Downtown,652244
1688,2,2.1,62,Downtown,493638
1722,3,1.7,17,Suburbs,422709
1826,3,1.5,72,Rural,230084
1711,2,1.6,40,Rural,212715
2378,4,2.6,54,Suburbs,493380
3126,6,4.0,11,Rural,465696
1465,3,1.9,23,Suburbs,345169
978,1,1.0,41,Suburbs,166611
1747,2,1.9,40,Downtown,572242
3347,5,3.7,60,Downtown,1037986
1317,3,2.4,69,Suburbs,310808
2783,5,3.1,43,Downtown,918032
2806,5,3.2,23,Suburbs,657806
1467,3,1.2,47,Rural,215061
2141,3,1.9,11,Rural,262508
2777,4,3.1,56,Rural,330960
1572,2,1.6,60,Rural,183297
1677,2,1.3,69,Suburbs,350237
1450,3,2.1,2,Rural,211527
1191,2,1.2,37,Rural,145306
1410,3,2.2,49,Rural,199936
1065,1,1.0,24,Rural,131057
1820,3,1.6,2,Suburbs,443528
1338,3,2.2,22,Rural,169947
1940,4,3.1,19,Downtown,769307
866,1,1.0,16,Downtown,301432
1998,4,3.0,5,Downtown,755030
2300,3,2.9,17,Downtown,794711
603,1,1.0,62,Downtown,219414
2024,3,2.2,32,Downtown,652360
2536,5,3.3,24,Suburbs,639082
1074,2,1.5,56,Downtown,364453
2803,4,2.9,54,Rural,352541
2051,4,2.9,51,Downtown,674215
1376,2,1.1,49,Suburbs,297759
1766,2,1.5,30,Downtown,559996
2134,3,2.5,47,Rural,293730
1845,3,2.2,46,Rural,217117
2123,4,3.1,58,Suburbs,468462
1247,2,1.3,7,Suburbs,304196
1901,3,2.3,31,Suburbs,414390
951,2,1.5,14,Suburbs,274274
1733,2,1.1,7,Downtown,605021
1257,2,1.5,1,Downtown,515418
1358,3,1.8,50,Rural,144658
2541,5,3.3,8,Suburbs,639811
2454,5,3.6,73,Suburbs,584821
2165,3,2.2,26,Downtown,716898
1144,2,1.0,5,Suburbs,332165
1610,3,2.4,49,Rural,207482
2527,4,3.0,3,Rural,323734
1885,3,1.9,48,Suburbs,398562
3191,5,3.0,57,Rural,412006
2035,3,2.1,21,Rural,254674
1915,3,2.0,74,Downtown,561128
1614,3,2.1,14,Rural,245185
1880,4,2.7,72,Suburbs,405322
1708,3,1.5,7,Suburbs,425194
2224,3,2.0,34,Rural,285670
2374,3,2.0,38,Suburbs,512552
1328,2,1.6,24,Downtown,464428
1001,2,1.2,60,Rural,127262
698,2,1.9,67,Rural,76022
2104,3,1.5,37,Rural,287250
1137,2,1.8,19,Suburbs,278863
508,1,1.0,28,Suburbs,165495
2033,4,3.1,65,Rural,256117
3295,6,4.0,26,Suburbs,760269
1796,3,2.4,34,Suburbs,404306
2303,3,2.0,45,Rural,261219
1849,4,2.5,70,Rural,197588
1740,3,2.5,4,Suburbs,419409
2351,3,2.1,44,Rural,281683
1625,3,2.2,23,Rural,233764
1960,3,2.5,52,Rural,267561
1993,3,1.8,27,Rural,251021
1399,2,1.6,35,Suburbs,297512
2395,3,1.9,69,Rural,245026
1695,2,1.4,37,Downtown,550732
1346,3,2.1,34,Rural,220479
2121,3,1.6,48,Downtown,686064
1260,2,1.2,6,Rural,199091
1816,3,2.5,18,Downtown,669504
1794,2,1.7,58,Downtown,573244
2451,5,3.5,4,Rural,363062
2084,3,2.2,28,Rural,285711
1784,3,2.0,62,Rural,211230
2290,3,2.5,64,Downtown,674481
2634,5,3.4,51,Suburbs,573720
2134,3,2.2,2,Suburbs,505772
1806,3,2.4,71,Rural,219231
1012,2,1.2,29,Suburbs,286110
1160,1,1.2,57,Suburbs,228647
1616,3,1.6,32,Rural,239908
1434,2,1.9,42,Downtown,469328
1687,3,2.0,65,Rural,199554
1833,3,2.0,2,Suburbs,423454
2117,3,1.5,16,Downtown,696843
1757,3,2.0,44,Suburbs,399419
2091,3,1.8,47,Downtown,660167
1838,3,1.9,15,Suburbs,453089
614,1,1.0,72,Rural,68539
1236,2,1.7,20,Suburbs,298684
1713,2,1.5,61,Suburbs,381383
1074,1,1.0,17,Downtown,379013
2159,4,2.5,60,Suburbs,487292
2718,5,3.2,73,Rural,326453
2531,5,4.0,51,Rural,352699
1671,2,1.2,11,Rural,241846
2694,5,4.0,4,Downtown,997577
1889,3,2.0,51,Downtown,558581
1597,2,1.4,48,Suburbs,331653
1431,2,1.7,38,Suburbs,343849
1618,2,1.8,36,Suburbs,366331
1567,3,2.1,12,Downtown,599908
1902,3,2.0,49,Downtown,578052
1896,4,2.8,10,Suburbs,466154
1801,3,2.2,71,Downtown,562294
2062,4,3.1,46,Downtown,718872
2514,5,3.5,74,Rural,340543
2369,4,3.0,25,Rural,317605
909,2,1.9,64,Suburbs,210333
400,1,1.0,1,Suburbs,155187
2360,4,2.9,16,Rural,304771
979,1,1.0,13,Downtown,318000
1665,3,1.3,39,Suburbs,374494
1097,1,1.0,19,Suburbs,259259
718,2,1.4,54,Suburbs,159149
2124,3,1.9,62,Downtown,613289
2255,4,2.9,66,Rural,293187
1454,3,2.1,64,Suburbs,309733
400,1,1.0,5,Rural,98812
1472,3,2.1,74,Rural,216254
2035,4,2.6,5,Downtown,717377
912,2,1.7,19,Downtown,361820
1910,3,2.0,44,Downtown,618886
1790,3,2.3,38,Downtown,639419
2147,3,2.0,28,Downtown,679708
1871,4,2.6,28,Downtown,716963
1216,3,2.1,6,Suburbs,342488
2517,4,2.8,17,Rural,336846
1704,3,2.2,39,Downtown,579523
1783,3,2.0,43,Suburbs,385804
1240,2,1.0,11,Rural,198311
1534,3,2.0,4,Downtown,571971
1269,2,1.6,33,Downtown,449118
1696,2,1.3,27,Suburbs,362880
2827,4,2.7,1,Rural,364485
976,2,1.7,45,Downtown,399829
831,1,1.0,54,Rural,107305
2682,4,2.3,15,Suburbs,614955
1674,3,2.1,62,Downtown,556255
1398,2,1.3,74,Rural,126266
2423,5,3.2,10,Suburbs,629011
1436,3,2.0,42,Suburbs,285114
2895,5,3.6,37,Downtown,963307
2206,4,2.8,50,Rural,276055
1507,2,1.5,49,Downtown,485937
3094,5,4.0,16,Downtown,1081648
1436,2,1.3,42,Rural,176495
2245,3,2.2,34,Rural,284843
1979,3,1.9,45,Rural,228091
2581,5,3.2,18,Suburbs,582237
2736,4,2.6,26,Suburbs,619512
1819,3,2.0,27,Rural,258268
1347,2,1.5,3,Suburbs,372613
2075,4,3.5,26,Downtown,743471
1393,3,1.9,28,Rural,213313
3008,5,3.4,19,Downtown,1027732
1881,4,2.8,10,Rural,302674
1580,2,1.5,63,Downtown,489999
1910,3,2.2,6,Rural,273981
991,2,1.8,69,Downtown,306859
1217,3,1.4,10,Rural,207497
2520,4,2.1,50,Rural,322643
1405,2,1.3,74,Suburbs,252771
1171,2,1.7,43,Downtown,375867
2121,3,1.6,72,Suburbs,407375
2511,5,2.6,26,Downtown,900529
2231,3,2.3,56,Suburbs,485948
2397,4,2.9,15,Rural,306687
1345,2,1.1,46,Suburbs,260995
946,1,1.0,25,Suburbs,248156
2700,5,3.2,73,Rural,309973
1606,2,1.4,2,Suburbs,395418
1649,2,1.2,19,Rural,203367
2596,5,3.6,58,Downtown,897156
2133,3,1.2,15,Suburbs,457561
2073,3,1.8,39,Rural,282995
3099,5,3.2,14,Rural,416035
1413,3,2.0,58,Suburbs,318140
2356,4,2.6,26,Downtown,768833
1834,4,3.0,15,Suburbs,423593
1961,3,1.5,55,Rural,230520
2717,4,2.8,25,Downtown,914346
2104,3,2.3,72,Suburbs,400234
2122,3,2.7,32,Rural,257478
2443,5,3.4,18,Suburbs,603079
1581,2,1.5,25,Downtown,545855
1296,2,1.0,7,Downtown,474854
1173,1,1.0,25,Downtown,408636
620,2,1.7,38,Downtown,243504
3033,5,3.5,29,Downtown,1018593
1138,1,1.1,33,Suburbs,281562
1667,2,1.0,60,Downtown,485118
1633,2,1.6,42,Downtown,524557
1984,3,2.7,64,Rural,290029
2289,4,2.9,55,Downtown,721207
2316,3,2.2,51,Rural,296916
1450,2,1.4,11,Rural,236155
1699,2,1.0,10,Rural,218175
1969,3,2.5,2,Suburbs,499813
1650,2,1.2,58,Suburbs,305876
2764,4,3.0,14,Rural,354142
2094,3,1.6,60,Suburbs,429757
2240,3,1.7,24,Downtown,751513
2197,3,2.5,48,Suburbs,492303
2504,4,2.7,1,Downtown,923548
1908,4,3.2,14,Downtown,726659
1021,2,1.4,17,Suburbs,290302
2039,4,2.2,44,Suburbs,449121
1409,3,2.4,63,Rural,201079
1482,2,1.2,29,Suburbs,333502
2151,4,3.0,44,Suburbs,498769
2542,5,3.5,43,Suburbs,590926
1812,3,1.6,43,Downtown,556507
1985,4,2.8,22,Downtown,701060
2821,5,4.0,14,Downtown,1011477
1944,3,2.2,29,Rural,224131
3361,5,3.5,1,Rural,467351
2139,3,2.4,68,Rural,271250
743,2,1.5,71,Downtown,243897
2252,4,2.9,23,Suburbs,507006
2028,3,1.8,44,Rural,279855
2573,4,2.9,39,Rural,371605
2203,4,3.1,21,Downtown,793351
1716,2,1.1,21,Rural,230363
1065,2,1.8,58,Suburbs,238498
1674,2,1.4,45,Downtown,532724
1289,2,1.1,53,Downtown,397487
1451,3,2.4,32,Suburbs,355822
2153,3,2.0,48,Suburbs,471241
2801,4,3.0,38,Suburbs,656730
2036,3,2.0,29,Rural,237149
1082,2,1.4,40,Suburbs,248673
2066,3,2.2,71,Downtown,599605
2517,4,2.9,49,Suburbs,577908
1434,2,1.0,56,Downtown,417993
1719,2,1.1,30,Downtown,522548
1808,3,2.4,49,Rural,245673
1329,2,1.4,53,Suburbs,313722
2188,4,2.6,17,Rural,316547
